category,type,comparative_word,is_to,sub_word,target_word
semantic,capital-common-countries,Athens,Greece,Baghdad,Iraq
semantic,capital-common-countries,Athens,Greece,Bangkok,Thailand
semantic,capital-common-countries,Athens,Greece,Beijing,China
semantic,capital-common-countries,Athens,Greece,Berlin,Germany
semantic,capital-common-countries,Athens,Greece,Bern,Switzerland
semantic,capital-common-countries,Athens,Greece,Cairo,Egypt
semantic,capital-common-countries,Athens,Greece,Canberra,Australia
semantic,capital-common-countries,Athens,Greece,Hanoi,Vietnam
semantic,capital-common-countries,Athens,Greece,Havana,Cuba
semantic,capital-common-countries,Athens,Greece,Helsinki,Finland
semantic,capital-common-countries,Athens,Greece,Islamabad,Pakistan
semantic,capital-common-countries,Athens,Greece,Kabul,Afghanistan
semantic,capital-common-countries,Athens,Greece,London,England
semantic,capital-common-countries,Athens,Greece,Madrid,Spain
semantic,capital-common-countries,Athens,Greece,Moscow,Russia
semantic,capital-common-countries,Athens,Greece,Oslo,Norway
semantic,capital-common-countries,Athens,Greece,Ottawa,Canada
semantic,capital-common-countries,Athens,Greece,Paris,France
semantic,capital-common-countries,Athens,Greece,Rome,Italy
semantic,capital-common-countries,Athens,Greece,Stockholm,Sweden
semantic,capital-common-countries,Athens,Greece,Tehran,Iran
semantic,capital-common-countries,Athens,Greece,Tokyo,Japan
semantic,capital-common-countries,Baghdad,Iraq,Bangkok,Thailand
semantic,capital-common-countries,Baghdad,Iraq,Beijing,China
semantic,capital-common-countries,Baghdad,Iraq,Berlin,Germany
semantic,capital-common-countries,Baghdad,Iraq,Bern,Switzerland
semantic,capital-common-countries,Baghdad,Iraq,Cairo,Egypt
semantic,capital-common-countries,Baghdad,Iraq,Canberra,Australia
semantic,capital-common-countries,Baghdad,Iraq,Hanoi,Vietnam
semantic,capital-common-countries,Baghdad,Iraq,Havana,Cuba
semantic,capital-common-countries,Baghdad,Iraq,Helsinki,Finland
semantic,capital-common-countries,Baghdad,Iraq,Islamabad,Pakistan
semantic,capital-common-countries,Baghdad,Iraq,Kabul,Afghanistan
